单价,数量
贰元壹角玖分,1
叁拾伍元柒角壹分,1
壹元柒角伍分,10
柒拾贰元玖角柒分,1
肆拾伍元叁角,1
肆拾捌元壹角叁分,1
拾肆元贰角陆分,1
捌元柒角贰分,1
捌元贰角伍分,1
拾柒元叁角叁分,1
贰元陆角伍分,1
伍元叁角捌分,1
捌元玖角柒分,1
壹元柒角贰分,1
伍元零叁分,3
拾肆元叁角玖分,1
贰元玖角柒分,1
柒元壹角陆分,1
肆拾陆元伍角叁分,1
拾肆元零玖分,1
柒元肆角伍分,1
肆元玖角贰分,9
贰元叁角玖分,1
柒拾贰元伍角贰分,1
贰拾叁元陆角贰分,1
壹元叁角捌分,2
壹元玖角叁分,1
拾贰元柒角伍分,1
拾捌元捌角柒分,1
叁元贰角,3
贰拾肆元叁角壹分,1
拾贰元伍角捌分,1
贰拾贰元零玖分,1
叁拾伍元壹角叁分,1
伍拾玖元壹角柒分,1
叁拾伍元玖角壹分,1
拾捌元肆角柒分,1
柒拾捌元玖角壹分,1
贰拾壹元零贰分,1
贰元陆角,1
陆元柒角伍分,6
捌分,6
柒元陆角陆分,1
贰元零肆分,2
贰分,2
捌元伍角柒分,1
叁元柒角玖分,1
柒元肆角柒分,1
拾伍元零陆分,1
叁拾叁元捌角玖分,1
玖元贰角柒分,1
拾伍元贰角玖分,1
肆元贰角叁分,1
叁元肆角肆分,4
伍元零柒分,1
贰拾柒元零玖分,1
叁元贰角陆分,2
贰拾壹元玖角伍分,1
肆拾叁元伍角壹分,1
肆元伍角捌分,1
拾陆元玖角叁分,1
贰拾玖元陆角柒分,1
叁拾元叁角玖分,1
玖元伍角捌分,1
贰元捌角玖分,1
拾元伍角肆分,1
玖拾玖元陆角肆分,1
贰拾壹元贰角壹分,1
肆元柒角柒分,1
拾肆元贰角伍分,1
拾肆元捌角壹分,1
壹元伍角,5
拾壹元捌角叁分,1
拾元贰角肆分,1
肆元玖角叁分,2
贰拾元贰角肆分,1
叁拾柒元肆角伍分,1
捌元玖角捌分,1
拾元伍角伍分,2
柒元叁角叁分,1
贰元零陆分,1
拾肆元伍角壹分,3
肆拾捌元叁角贰分,1
玖元捌角玖分,1
壹元零壹分,4
贰元贰角柒分,5
壹元叁角玖分,2
拾陆元陆角贰分,1
拾柒元整,2
拾贰元柒角壹分,1
肆元零贰分,4
捌拾元壹角捌分,1
拾捌元零叁分,1
贰元柒角玖分,2
拾贰元捌角柒分,1
拾肆元柒角柒分,1
拾玖元玖角陆分,1
拾陆元伍角捌分,1
贰拾伍元壹角柒分,1
叁拾陆元玖角伍分,1
拾叁元贰角壹分,1
拾捌元柒角玖分,1
玖角柒分,1
伍拾柒元陆角叁分,1
伍元捌角玖分,4
拾肆元伍角壹分,4
叁元捌角叁分,1
壹元零玖分,9
贰拾贰元伍角柒分,1
贰分,1
拾元陆角壹分,1
拾捌元柒角贰分,2
贰角玖分,6
伍元壹角叁分,1
伍角肆分,6
贰拾捌元伍角贰分,1
拾玖元贰角玖分,1
捌角,1
叁元玖角伍分,6
壹元贰角壹分,9
贰元捌角壹分,1
贰元零柒分,3
叁角捌分,2
拾叁元柒角壹分,1
拾元柒角伍分,1
壹元柒角肆分,1
叁拾陆元捌角柒分,1
陆元叁角捌分,3
拾伍元伍角捌分,1
壹元壹角叁分,10
贰元捌角壹分,1
拾玖元陆角玖分,1
拾贰元零贰分,1
贰拾贰元叁角肆分,1
叁拾壹元叁角柒分,1
伍元壹角叁分,7
壹元柒角玖分,1
肆元贰角肆分,1
拾元壹角陆分,1
壹元捌角陆分,2
捌元玖角,4
拾陆元叁角玖分,1
捌角伍分,1
拾叁元柒角叁分,1
叁元柒角叁分,1
肆元壹角柒分,2
拾柒元伍角伍分,1
叁元壹角贰分,1
拾肆元捌角贰分,1
叁角贰分,1
肆角捌分,3
拾肆元零贰分,1
玖角柒分,1
叁元陆角玖分,1
肆角叁分,1
拾捌元贰角玖分,1
玖角壹分,10
捌元捌角叁分,1
伍拾捌元柒角伍分,1
贰元捌角捌分,4
壹佰肆拾贰元贰角壹分,1
玖元壹角玖分,1
拾元伍角贰分,1
肆元陆角陆分,2
壹元叁角玖分,1
伍元陆角贰分,1
伍元玖角陆分,1
拾伍元陆角肆分,1
陆元陆角陆分,1
贰拾陆元肆角陆分,1
贰元伍角贰分,6
拾伍元肆角陆分,1
伍角柒分,1
肆拾壹元玖角柒分,1
肆分,9
拾陆元壹角壹分,1
拾柒元玖角陆分,1
陆元肆角伍分,1
叁分,8
壹元玖角壹分,8
壹元伍角叁分,1
陆元陆角玖分,1
贰元捌角壹分,1
拾叁元伍角伍分,1
玖元柒角叁分,1
柒元叁角玖分,1
捌元陆角贰分,1
玖角肆分,6
拾元肆角,2
壹元陆角肆分,1
叁元捌角贰分,1
贰元陆角,2
壹元零肆分,10
陆元贰角捌分,1
陆角玖分,1
伍元叁角贰分,1
拾贰元捌角柒分,1
柒元柒角陆分,9
伍角捌分,1
拾元肆角玖分,1
拾壹元贰角壹分,1
叁拾肆元叁角叁分,1
伍元零叁分,5
肆拾柒元肆角壹分,1
捌元壹角壹分,2
叁拾叁元贰角叁分,1
拾叁元玖角柒分,1
拾伍元贰角柒分,1
捌元玖角伍分,1
贰拾玖元肆角叁分,1
肆元叁角捌分,2
伍元零柒分,8
陆角陆分,1
拾伍元捌角伍分,1
拾元捌角柒分,1
伍元贰角玖分,1
柒拾元柒角,1
肆元玖角贰分,2
伍拾捌元贰角贰分,1
陆元柒角玖分,1
陆元贰角玖分,6
拾壹元伍角柒分,1
拾壹元伍角陆分,6
贰拾柒元肆角贰分,1
壹元肆角陆分,6
贰拾伍元捌角肆分,1
肆元壹角,1
伍元贰角叁分,1
伍拾陆元玖角叁分,1
贰拾叁元玖角肆分,1
叁拾陆元柒角玖分,1
贰元玖角陆分,1
柒拾叁元叁角叁分,1
贰元壹角捌分,1
肆拾陆元捌角肆分,1
肆角柒分,1
贰元贰角,3
捌元贰角叁分,1
伍元伍角叁分,1
肆元叁角玖分,2
叁元壹角伍分,3
肆元贰角陆分,1
柒元零伍分,1
伍元陆角伍分,3
肆元玖角伍分,1
肆拾贰元陆角陆分,1
肆角玖分,1
贰元叁角玖分,8
贰拾壹元零壹分,1
叁拾陆元陆角壹分,1
陆角,1
叁元捌角叁分,1
贰拾捌元捌角壹分,1
贰元壹角捌分,1
壹元伍角捌分,1
肆元壹角,2
贰拾柒元捌角,1
肆元肆角贰分,1
壹元零陆分,1
肆元柒角陆分,2
叁元零壹分,1
肆拾伍元零叁分,1
玖角柒分,1
叁拾伍元叁角伍分,1
贰元捌角陆分,1
陆元捌角肆分,1
拾柒元捌角叁分,1
肆元零贰分,7
壹元零肆分,1
陆拾叁元柒角壹分,1
拾叁元陆角陆分,2
贰拾柒元捌角,1
贰拾肆元叁角贰分,1
拾陆元肆角壹分,1
拾伍元零陆分,1
贰元柒角贰分,1
捌元肆角柒分,3
捌元肆角柒分,1
拾叁元柒角壹分,1
伍元壹角壹分,6
拾柒元柒角陆分,1
拾贰元柒角壹分,1
拾玖元伍角肆分,1
拾玖元玖角壹分,1
玖分,1
拾陆元陆角玖分,1
贰拾伍元贰角肆分,1
贰拾肆元陆角玖分,1
贰元陆角伍分,1
玖拾元玖角玖分,1
拾壹元陆角肆分,1
叁拾伍元壹角肆分,1
壹元贰角捌分,1
肆拾伍元肆角,1
叁元零伍分,1
肆元陆角,2
伍元叁角陆分,4
柒角陆分,1
壹角伍分,1
拾元陆角陆分,1
陆拾贰元贰角伍分,1
拾元肆角伍分,1
叁元叁角贰分,3
叁拾元肆角柒分,1
壹元零伍分,1
贰元叁角捌分,1
伍拾贰元捌角捌分,1
贰拾捌元叁角壹分,1
肆拾肆元贰角肆分,1
贰拾柒元肆角壹分,2
拾捌元捌角伍分,1
拾陆元壹角捌分,1
贰元叁角柒分,3
叁拾捌元叁角叁分,1
叁元壹角壹分,1
贰拾陆元肆角叁分,1
拾玖元壹角捌分,1
拾元叁角叁分,1
柒元叁角叁分,1
肆角柒分,1
玖角玖分,1
陆元叁角伍分,1
贰拾柒元捌角玖分,1
玖角叁分,9
壹角壹分,9
贰角捌分,1
拾贰元壹角陆分,1
肆拾捌元陆角捌分,1
叁元捌角叁分,5
伍元捌角柒分,1
贰元壹角玖分,1
壹元贰角,8
伍拾陆元贰角柒分,1
玖元伍角叁分,1
柒元陆角柒分,2
拾叁元贰角伍分,1
玖角玖分,1
贰拾元肆角伍分,1
拾肆元捌角贰分,1
肆拾叁元陆角贰分,1
玖元零柒分,1
柒元壹角柒分,1
肆元伍角肆分,1
贰元叁角叁分,1
肆拾叁元玖角肆分,1
捌元零壹分,1
肆角壹分,7
伍元伍角柒分,1
拾叁元零叁分,1
肆拾捌元伍角捌分,1
叁元玖角,1
伍元零壹分,1
肆元叁角叁分,3
拾元柒角贰分,1
拾元陆角叁分,1
玖元柒角柒分,1
壹元柒角,6
叁元壹角壹分,1
拾捌元壹角叁分,1
拾伍元贰角叁分,1
叁拾捌元陆角玖分,1
贰拾伍元肆角,1
柒元陆角叁分,1
柒元整,1
拾柒元叁角柒分,1
柒元肆角捌分,5
贰拾玖元玖角伍分,1
陆元肆角玖分,1
肆元玖角陆分,5
叁角玖分,9
拾叁元零叁分,1
叁元叁角伍分,1
伍元壹角柒分,1
捌角玖分,1
陆角陆分,1
伍元肆角肆分,1
壹元贰角,4
拾柒元柒角伍分,1
捌元壹角贰分,1
玖元陆角贰分,1
贰元柒角伍分,1
贰元零陆分,1
肆元陆角捌分,1
贰拾肆元捌角陆分,1
叁元陆角肆分,10
壹元伍角贰分,6
陆拾伍元陆角伍分,1
肆元零玖分,2
玖元叁角伍分,1
壹元柒角肆分,4
陆元叁角玖分,1
伍元零伍分,1
贰拾壹元陆角壹分,1
肆拾伍元壹角玖分,1
叁拾元零玖分,1
肆拾捌元壹角玖分,1
贰拾肆元叁角壹分,1
拾捌元柒角玖分,1
叁角陆分,2
陆角肆分,1
捌元柒角柒分,1
叁拾元壹角叁分,1
贰拾柒元零贰分,1
贰拾元捌角贰分,1
玖元伍角,1
玖元肆角柒分,3
拾捌元叁角壹分,1
拾捌元陆角壹分,1
拾伍元叁角,1
拾壹元捌角捌分,1
柒元陆角肆分,2
拾柒元叁角壹分,1
叁拾伍元伍角玖分,1
捌元伍角陆分,6
贰元贰角肆分,1
贰拾捌元叁角陆分,1
陆元零壹分,9
捌元贰角叁分,1
壹角陆分,8
壹角陆分,7
柒元肆角叁分,1
拾贰元玖角捌分,1
叁元玖角玖分,1
叁元肆角壹分,5
拾贰元肆角伍分,1
壹元伍角伍分,1
拾元捌角玖分,1
拾肆元贰角叁分,1
壹元叁角叁分,5
拾陆元贰角壹分,1
叁拾伍元肆角玖分,1
拾贰元叁角捌分,1
玖元捌角叁分,4
拾伍元贰角叁分,1
壹元陆角柒分,1
柒元肆角,1
贰拾捌元零伍分,1
拾壹元叁角柒分,1
叁拾元肆角,1
贰拾壹元玖角叁分,1
叁拾陆元贰角陆分,1
贰拾元捌角玖分,1
陆元肆角捌分,1
贰拾元肆角伍分,1
叁拾元玖角伍分,1
柒元肆角玖分,8
玖分,1
贰角伍分,1
拾伍元伍角,1
贰元零玖分,1
壹角捌分,7
肆拾柒元零陆分,1
叁拾壹元肆角叁分,1
叁元伍角伍分,1
拾壹元零贰分,2
柒元柒角玖分,1
壹元捌角柒分,1
壹元陆角叁分,1
伍元陆角陆分,6
肆元叁角肆分,1
捌元陆角陆分,1
拾捌元玖角柒分,1
拾壹元玖角陆分,1
壹元贰角壹分,1
拾伍元捌角壹分,1
贰拾柒元零壹分,1
贰拾壹元陆角壹分,1
拾元零伍分,3
伍角贰分,4
陆元贰角陆分,1
壹元零玖分,1
伍元伍角捌分,1
叁元陆角玖分,1
拾贰元捌角伍分,1
壹角伍分,10
贰拾元壹角肆分,1
陆元柒角陆分,1
贰元陆角叁分,1
叁元零叁分,2
叁拾捌元贰角玖分,1
贰元柒角柒分,9
贰元伍角叁分,1
柒元柒角肆分,2
肆角,8
肆角伍分,1
贰拾叁元壹角壹分,1
壹元叁角,1
捌拾柒元伍角肆分,1
贰拾肆元贰角壹分,1
拾玖元壹角柒分,1
拾捌元柒角,1
贰拾肆元壹角壹分,1
肆元陆角陆分,3
贰元伍角柒分,1
贰元零捌分,7
肆拾贰元陆角柒分,1
壹元伍角伍分,7
叁角陆分,10
肆元叁角陆分,1
捌元壹角壹分,1
陆角肆分,7
肆元贰角壹分,1
拾元肆角叁分,1
捌元柒角叁分,1
捌角壹分,1
叁拾元零贰分,1
肆元壹角,2
柒元伍角伍分,1
叁拾捌元贰角叁分,1
拾玖元肆角陆分,1
叁拾壹元贰角肆分,1
玖元玖角玖分,1
贰元壹角捌分,1
贰拾壹元伍角柒分,1
拾贰元壹角贰分,1
陆角叁分,5
柒元玖角陆分,1
叁拾贰元陆角叁分,1
拾壹元贰角贰分,3
拾肆元肆角柒分,1
陆角,4
伍元柒角玖分,2
贰元伍角柒分,1
肆元玖角捌分,1
叁拾叁元柒角玖分,1
玖元肆角伍分,1
陆拾壹元捌角柒分,1
叁元零捌分,8
拾肆元伍角柒分,1
拾贰元零柒分,1
陆元捌角柒分,1
贰拾元叁角玖分,1
叁拾贰元伍角玖分,1
叁元贰角陆分,1
肆拾叁元捌角伍分,1
陆元捌角壹分,1
陆元贰角柒分,1
贰角,1
肆拾陆元零肆分,1
玖元捌角叁分,1
壹元壹角叁分,1
壹元壹角伍分,1
叁拾元捌角伍分,1
陆元贰角叁分,2
壹角肆分,7
叁元贰角肆分,1
陆元伍角捌分,1
肆元零陆分,4
贰拾叁元柒角柒分,1
贰拾捌元肆角肆分,1
玖元零肆分,2
壹元贰角,5
肆元伍角伍分,1
拾陆元零肆分,1
拾肆元捌角叁分,1
壹元伍角柒分,10
伍元玖角,2
壹元贰角壹分,6
叁拾伍元捌角壹分,1
贰拾叁元贰角,1
拾贰元肆角壹分,2
贰拾元叁角玖分,1
壹元玖角壹分,9
陆元零肆分,1
肆元叁角捌分,1
肆元肆角捌分,7
贰拾贰元贰角壹分,1
玖元陆角叁分,1
贰拾壹元贰角贰分,1
壹元陆角伍分,1
贰拾陆元伍角肆分,1
陆角柒分,4
拾壹元柒角伍分,1
肆元捌角柒分,4
拾肆元柒角叁分,1
拾壹元零叁分,1
贰拾元柒角叁分,2
捌元陆角贰分,1
壹元壹角柒分,8
陆元伍角壹分,1
柒拾伍元壹角叁分,1
拾陆元壹角叁分,1
玖元贰角陆分,2
贰元贰角捌分,1
捌元柒角柒分,2
贰拾玖元伍角贰分,1
拾玖元柒角贰分,1
捌元零伍分,2
拾伍元零陆分,1
拾叁元肆角壹分,1
肆元柒角伍分,1
玖元肆角壹分,1
贰元玖角玖分,1
伍角贰分,3
叁元壹角伍分,1
拾肆元柒角肆分,2
拾贰元肆角,1
拾伍元零叁分,1
壹角壹分,1
贰拾玖元肆角伍分,1
柒元零伍分,10
拾元零柒分,1
伍元壹角捌分,1
叁元贰角柒分,1
贰元壹角肆分,4
柒元柒角陆分,1
捌元贰角壹分,4
贰元肆角伍分,1
捌元贰角,1
壹元肆角,10
伍元壹角伍分,1
肆元柒角叁分,1
玖元陆角叁分,1
叁拾肆元壹角捌分,1
捌角贰分,2
叁拾柒元玖角壹分,1
贰拾贰元玖角叁分,1
肆拾陆元捌角伍分,1
肆拾叁元玖角捌分,1
拾玖元叁角肆分,1
壹角贰分,1
贰元捌角柒分,2
叁拾陆元壹角贰分,1
肆拾肆元肆角贰分,1
拾陆元玖角柒分,2
拾肆元陆角贰分,1
伍拾元肆角伍分,1
肆元壹角伍分,7
拾贰元零壹分,1
叁元捌角,2
玖角玖分,1
叁元零柒分,8
贰拾肆元肆角柒分,1
叁元捌角壹分,1
肆元叁角贰分,3
伍元肆角,3
捌角伍分,6
伍拾贰元玖角陆分,1
壹元柒角捌分,1
拾元柒角捌分,1
陆元零肆分,2
肆拾元伍角伍分,1
贰拾柒元贰角捌分,1
贰元壹角捌分,1
壹元玖角肆分,6
拾元叁角柒分,1
肆元陆角玖分,1
叁元零贰分,1
拾肆元伍角肆分,1
伍元柒角叁分,1
贰拾陆元捌角伍分,1
捌元叁角陆分,1
贰元肆角叁分,1
拾叁元零玖分,1
捌元捌角,1
肆角肆分,10
贰拾元零叁分,1
壹元捌角肆分,1
壹角壹分,9
壹元玖角贰分,1
拾肆元零壹分,1
贰拾陆元伍角伍分,1
叁角叁分,10
叁元叁角捌分,4
贰拾叁元玖角捌分,1
贰拾叁元玖角玖分,1
叁元玖角伍分,1
拾陆元伍角捌分,1
拾肆元肆角柒分,1
捌角陆分,5
捌角伍分,2
肆拾元壹角伍分,1
拾壹元玖角贰分,1
贰拾叁元叁角柒分,1
拾捌元零柒分,1
肆元玖角伍分,1
叁拾柒元玖角伍分,1
贰元肆角玖分,3
贰角,1
贰拾贰元陆角柒分,1
拾肆元贰角陆分,1
拾玖元伍角伍分,1
贰元贰角伍分,1
拾玖元玖角叁分,1
伍元陆角叁分,1
贰元伍角捌分,3
陆元肆角壹分,3
陆拾贰元玖角肆分,1
贰元零贰分,1
陆元伍角玖分,1
叁拾陆元陆角叁分,1
柒元陆角捌分,1
陆拾陆元壹角壹分,1
肆拾柒元玖角肆分,1
伍元柒角,1
拾贰元肆角陆分,2
肆拾柒元伍角壹分,1
肆元零捌分,4
拾肆元陆角伍分,1
玖元零玖分,1
贰拾肆元零叁分,1
肆拾叁元柒角柒分,1
拾叁元贰角壹分,1
贰角肆分,4
陆元捌角伍分,1
肆元叁角陆分,2
玖元柒角柒分,1
柒角壹分,1
伍元伍角玖分,1
拾壹元伍角柒分,1
贰拾叁元捌角壹分,1
贰元陆角壹分,6
柒元叁角柒分,5
拾肆元壹角柒分,1
陆拾陆元零壹分,1
叁拾伍元伍角贰分,1
贰元叁角玖分,1
肆拾陆元壹角捌分,1
陆元零柒分,1
伍拾壹元壹角柒分,2
柒拾陆元肆角玖分,1
拾壹元肆角,1
陆元陆角贰分,1
柒角伍分,1
玖元玖角,1
贰拾元零陆分,1
叁拾陆元伍角叁分,1
贰拾元零捌分,1
陆角柒分,1
伍元玖角叁分,7
肆元壹角陆分,1
拾元玖角叁分,1
叁元伍角陆分,1
拾叁元玖角肆分,2
陆拾玖元壹角肆分,1
肆拾贰元肆角叁分,1
陆元贰角伍分,1
玖元贰角捌分,1
陆角伍分,6
拾贰元壹角叁分,1
叁元柒角柒分,1
贰元贰角捌分,3
贰拾柒元肆角柒分,1
壹元柒角玖分,1
拾肆元肆角伍分,1
壹佰零叁元叁角叁分,1
拾陆元壹角捌分,1
伍元伍角陆分,4
拾柒元贰角叁分,1
玖角柒分,1
陆元壹角伍分,1
贰拾伍元零壹分,1
贰元肆角贰分,1
贰元陆角玖分,3
陆拾贰元壹角贰分,1
伍元伍角伍分,3
拾壹元柒角肆分,1
叁元叁角伍分,1
陆拾叁元柒角玖分,1
拾壹元肆角伍分,2
壹元肆角壹分,1
拾陆元贰角叁分,4
拾元肆角叁分,1
贰元玖角壹分,1
拾壹元捌角壹分,1
拾陆元壹角壹分,1
叁角捌分,4
贰元陆角柒分,1
拾陆元伍角,1
叁元零叁分,1
陆元零贰分,1
贰拾捌元零伍分,1
拾捌元零陆分,1
贰元伍角柒分,1
叁拾贰元叁角陆分,1
壹元零叁分,1
叁拾肆元陆角柒分,1
叁拾叁元零伍分,1
肆拾捌元玖角肆分,1
伍分,1
壹元玖角陆分,6
叁元叁角壹分,1
陆元玖角柒分,1
肆元玖角伍分,5
拾玖元玖角陆分,1
壹元贰角贰分,7
玖元玖角捌分,1
叁拾陆元玖角伍分,1
肆拾叁元伍角贰分,1
贰角伍分,1
拾伍元叁角捌分,1
柒元贰角肆分,3
伍拾柒元伍角肆分,1
拾玖元叁角捌分,1
贰拾元捌角贰分,1
壹元柒角柒分,7
拾捌元肆角壹分,1
贰拾伍元肆角壹分,1
叁拾捌元壹角壹分,1
贰拾捌元叁角壹分,1
肆拾捌元叁角陆分,1
叁拾壹元肆角捌分,1
贰拾壹元壹角玖分,1
壹元柒角柒分,3
壹元柒角陆分,1
捌元肆角玖分,1
壹元叁角柒分,1
柒元肆角贰分,1
贰拾元贰角叁分,1
柒元捌角贰分,1
贰元零贰分,6
拾伍元零肆分,1
玖元捌角贰分,1
柒元陆角伍分,1
柒元贰角柒分,1
拾捌元陆角玖分,1
柒元伍角壹分,1
壹元叁角壹分,2
柒元贰角肆分,1
叁拾元捌角柒分,1
贰元陆角肆分,1
玖元玖角壹分,1
肆元陆角壹分,1
柒拾元贰角捌分,1
拾元玖角陆分,1
捌元陆角捌分,5
柒元零伍分,1
叁元叁角玖分,1
拾陆元零肆分,1
陆元捌角玖分,1
柒元叁角,1
伍拾陆元叁角柒分,1
玖元伍角贰分,1
贰元壹角叁分,5
拾柒元贰角肆分,1
伍元捌角柒分,1
陆元壹角伍分,1
拾叁元伍角柒分,1
叁拾肆元零壹分,1
柒元陆角肆分,1
捌元肆角肆分,1
壹元伍角柒分,1
贰角玖分,1
柒元贰角壹分,3
贰拾陆元玖角捌分,1
拾陆元贰角玖分,1
伍元壹角玖分,1
柒元贰角壹分,1
柒元柒角肆分,3
玖元玖角捌分,1
叁元肆角贰分,1
拾陆元陆角陆分,1
柒拾贰元贰角捌分,1
陆元陆角叁分,1
柒元伍角伍分,1
叁拾肆元贰角贰分,1
拾柒元零柒分,1
肆拾叁元柒角捌分,1
拾贰元贰角贰分,1
拾伍元壹角陆分,1
贰元零贰分,1
拾贰元陆角伍分,1
拾柒元叁角叁分,1
陆元肆角伍分,1
贰元玖角伍分,1
贰元陆角玖分,10
拾肆元玖角贰分,1
贰拾玖元陆角贰分,1
柒元贰角肆分,1
伍元陆角伍分,1
叁元伍角,2
伍角陆分,2
肆拾壹元叁角,1
贰元陆角贰分,1
